Name,Type,Rating,Checked
.Net,Language,0,TRUE
Actuarial Science,Domain,0,TRUE
Adobe Acrobat,Technology,2,TRUE
Agda,Language,0,TRUE
Agile Methdology,Domain,0,TRUE
Akka,Technology,0,TRUE
Algorithms,Domain,5,TRUE
Amazon RDS,Technology,4,TRUE
Amazon Redshift,Technology,0,TRUE
Amazon Web Services (AWS),Technology,3,TRUE
Analysis of Variance (ANOVA),Domain,0,TRUE
Apache Airflow,Technology,0,TRUE
Apache Hadoop,Technology,0,TRUE
Apache Hive,Technology,0,TRUE
Apache Spark,Technology,0,TRUE
Applied Mathematics,Domain,3,TRUE
Artificial Intelligence (AI),Domain,3,TRUE
AWS Glue,Technology,0,TRUE
AWS Lambda,Technology,0,TRUE
Azure Data Factory (ADF),Technology,0,TRUE
Azure Machine Learning,Technology,0,TRUE
B-Trees,Domain,0,TRUE
Bash,Language,1,TRUE
BigQuery,Technology,0,TRUE
BigTable,Technology,0,TRUE
Bitbucket,Technology,0,TRUE
Bitcoin,Technology,0,TRUE
Blockchains,Technology,0,TRUE
Bootstrap,Technology,2,TRUE
Business Intelligence (BI),Technology,0,TRUE
C,Language,0,TRUE
C#,Language,0,TRUE
C++,Language,0,TRUE
Cassandra,Technology,0,TRUE
Category Theory,Domain,1,TRUE
CI/CD Pipelines,Domain,0,TRUE
Cirq,Technology,0,TRUE
Classification,Domain,4,TRUE
Clojure,Language,0,TRUE
Cloud Computing,Domain,1,TRUE
Cloudera,Technology,0,TRUE
Clustering,Domain,2,TRUE
Combinatorial Optimization,Domain,3,TRUE
Command-Line Interface,Domain,3,TRUE
Computer Science,Domain,4,TRUE
Constraint Programming,Domain,2,TRUE
Containerization,Domain,0,TRUE
Convex Optimization,Domain,3,TRUE
Cryptocurrency,Domain,0,TRUE
Cryptography,Domain,0,TRUE
CSS,Language,3,TRUE
Dagster,Technology,0,TRUE
Dart,Technology,0,TRUE
Data Analysis,Domain,1,TRUE
Data Architecture,Domain,1,TRUE
Data Cleaning,Domain,2,TRUE
Data Engineering,Domain,3,TRUE
Data Governance,Domain,0,TRUE
Data Lakes,Domain,1,TRUE
Data Marts,Domain,0,TRUE
Data Mining,Domain,2,TRUE
Data Modeling,Domain,3,TRUE
Data Pipelines,Domain,2,TRUE
Data Reporting,Domain,3,TRUE
Data Science,Domain,3,TRUE
Data Structures,Domain,4,TRUE
Data Visualization,Domain,3,TRUE
Data Warehouse,Domain,1,TRUE
Database Design,Domain,3,TRUE
Database Systems,Domain,4,TRUE
Databricks,Technology,0,TRUE
Datadog,Technology,0,TRUE
DBT,Technology,0,TRUE
Decision Trees,Domain,2,TRUE
Deep Learning,Domain,4,TRUE
DevOps,Domain,1,TRUE
Directed Acyclic Graphs (DAGs),Domain,1,TRUE
Discord,Technology,2,TRUE
Distributed Systems,Domain,0,TRUE
